央视,#genre#
CCTV1综合,http://101.83.74.79:8686/rtp/239.45.3.145:5140$1920x1080
CCTV1综合,http://116.232.156.147:8888/rtp/239.45.3.145:5140$1920x1080
CCTV1综合,http://58.37.189.47:8088/rtp/239.45.3.145:5140$1920x1080
CCTV1综合,http://222.67.193.52:8888/rtp/239.45.3.145:5140$1920x1080
CCTV1综合,http://58.39.142.6:4022/rtp/239.45.3.145:5140$1920x1080
CCTV1综合,http://58.37.91.48:4000/rtp/239.45.3.145:5140$1920x1080
CCTV1综合,http://116.233.138.194:4022/rtp/239.45.3.145:5140$1920x1080
CCTV1综合,http://58.37.82.140:56789/rtp/239.45.3.145:5140$1920x1080
CCTV1综合,http://101.85.133.44:4000/rtp/239.45.3.145:5140$1920x1080
CCTV1综合,http://tv.twwhwn.cn:4022/rtp/239.45.3.145:5140$1920x1080
CCTV2财经,http://58.37.189.47:8088/rtp/239.45.1.109:5140
CCTV2财经,http://116.232.156.147:8888/rtp/239.45.1.109:5140
CCTV2财经,http://101.85.133.44:4000/rtp/239.45.1.109:5140
CCTV2财经,http://58.37.82.140:56789/rtp/239.45.1.109:5140
CCTV2财经,http://116.234.68.114:5002/rtp/239.45.1.109:5140
CCTV2财经,http://101.83.74.79:8686/rtp/239.45.1.109:5140
CCTV2财经,http://116.233.138.194:4022/rtp/239.45.1.109:5140
CCTV2财经,http://58.39.142.6:4022/rtp/239.45.1.109:5140
CCTV2财经,http://tv.twwhwn.cn:4022/rtp/239.45.1.109:5140
CCTV2财经,http://222.67.193.52:8888/rtp/239.45.1.109:5140
CCTV3综艺[高清],http://101.83.74.79:8686/rtp/239.45.1.68:5140$1920x1080
CCTV3综艺[高清],http://116.232.156.147:8888/rtp/239.45.1.68:5140$1920x1080
CCTV3综艺[高清],http://58.37.189.47:8088/rtp/239.45.1.68:5140$1920x1080
CCTV3综艺[高清],http://116.233.138.194:4022/rtp/239.45.1.68:5140$1920x1080
CCTV3综艺[高清],http://58.37.91.48:4000/rtp/239.45.1.68:5140$1920x1080
CCTV3综艺[高清],http://58.39.142.6:4022/rtp/239.45.1.68:5140$1920x1080
CCTV3综艺[高清],http://101.85.133.44:4000/rtp/239.45.1.68:5140$1920x1080
CCTV3综艺[高清],http://58.37.82.140:56789/rtp/239.45.1.68:5140$1920x1080
CCTV3综艺[高清],http://222.67.193.52:8888/rtp/239.45.1.68:5140$1920x1080
CCTV3综艺[高清],http://tv.twwhwn.cn:4022/rtp/239.45.1.68:5140$1920x1080
CCTV4中文国际,http://101.83.74.79:8686/rtp/239.45.0.2:5140$1920x1080
CCTV4中文国际,http://58.39.142.6:4022/rtp/239.45.0.2:5140$1920x1080
CCTV4中文国际,http://116.233.138.194:4022/rtp/239.45.0.2:5140$1920x1080
CCTV4中文国际,http://116.232.156.147:8888/rtp/239.45.0.2:5140$1920x1080
CCTV4中文国际,http://58.37.189.47:8088/rtp/239.45.0.2:5140$1920x1080
CCTV4中文国际,http://101.85.133.44:4000/rtp/239.45.0.2:5140$1920x1080
CCTV4中文国际,http://58.37.82.140:56789/rtp/239.45.0.2:5140$1920x1080
CCTV4中文国际,http://222.67.193.52:8888/rtp/239.45.0.2:5140$1920x1080
CCTV4中文国际,http://58.37.91.48:4000/rtp/239.45.0.2:5140$1920x1080
CCTV4中文国际,http://tv.twwhwn.cn:4022/rtp/239.45.0.2:5140$1920x1080
CCTV5体育,http://116.232.156.147:8888/rtp/239.45.1.69:5140$1920x1080
CCTV5体育,http://101.83.74.79:8686/rtp/239.45.1.69:5140$1920x1080
CCTV5体育,http://58.39.142.6:4022/rtp/239.45.1.69:5140$1920x1080
CCTV5体育,http://58.37.91.48:4000/rtp/239.45.1.69:5140$1920x1080
CCTV5体育,http://116.233.138.194:4022/rtp/239.45.1.69:5140$1920x1080
CCTV5体育,http://58.37.189.47:8088/rtp/239.45.1.69:5140$1920x1080
CCTV5体育,http://222.67.193.52:8888/rtp/239.45.1.69:5140$1920x1080
CCTV5体育,http://58.37.82.140:56789/rtp/239.45.1.69:5140$1920x1080
CCTV5体育,http://101.85.133.44:4000/rtp/239.45.1.69:5140$1920x1080
CCTV5体育,http://tv.twwhwn.cn:4022/rtp/239.45.1.69:5140$1920x1080
CCTV6电影,http://101.83.74.79:8686/rtp/239.45.1.70:5140$1920x1080
CCTV6电影,http://116.232.156.147:8888/rtp/239.45.1.70:5140$1920x1080
CCTV6电影,http://58.37.189.47:8088/rtp/239.45.1.70:5140$1920x1080
CCTV6电影,http://116.233.138.194:4022/rtp/239.45.1.70:5140$1920x1080
CCTV6电影,http://58.37.91.48:4000/rtp/239.45.1.70:5140$1920x1080
CCTV6电影,http://222.67.193.52:8888/rtp/239.45.1.70:5140$1920x1080
CCTV6电影,http://58.39.142.6:4022/rtp/239.45.1.70:5140$1920x1080
CCTV6电影,http://58.37.82.140:56789/rtp/239.45.1.70:5140$1920x1080
CCTV6电影,http://101.85.133.44:4000/rtp/239.45.1.70:5140$1920x1080
CCTV6电影,http://tv.twwhwn.cn:4022/rtp/239.45.1.70:5140$1920x1080
CCTV7国防军事,http://101.83.74.79:8686/rtp/239.45.3.56:5140$1920x1080
CCTV7国防军事,http://116.232.156.147:8888/rtp/239.45.3.56:5140$1920x1080
CCTV7国防军事,http://101.85.133.44:4000/rtp/239.45.3.56:5140$1920x1080
CCTV7国防军事,http://58.37.91.48:4000/rtp/239.45.3.56:5140$1920x1080
CCTV7国防军事,http://58.37.189.47:8088/rtp/239.45.3.56:5140$1920x1080
CCTV7国防军事,http://116.233.138.194:4022/rtp/239.45.3.56:5140$1920x1080
CCTV7国防军事,http://58.39.142.6:4022/rtp/239.45.3.56:5140$1920x1080
CCTV7国防军事,http://222.67.193.52:8888/rtp/239.45.3.56:5140$1920x1080
CCTV7国防军事,http://58.37.82.140:56789/rtp/239.45.3.56:5140$1920x1080
CCTV7国防军事,http://tv.100inns.com:4022/rtp/239.45.3.56:5140$1920x1080
CCTV8电视剧,http://101.83.74.79:8686/rtp/239.45.1.71:5140$1920x1080
CCTV8电视剧,http://116.232.156.147:8888/rtp/239.45.1.71:5140$1920x1080
CCTV8电视剧,http://101.85.133.44:4000/rtp/239.45.1.71:5140$1920x1080
CCTV8电视剧,http://116.233.138.194:4022/rtp/239.45.1.71:5140$1920x1080
CCTV8电视剧,http://58.37.91.48:4000/rtp/239.45.1.71:5140$1920x1080
CCTV8电视剧,http://58.37.189.47:8088/rtp/239.45.1.71:5140$1920x1080
CCTV8电视剧,http://58.39.142.6:4022/rtp/239.45.1.71:5140$1920x1080
CCTV8电视剧,http://222.67.193.52:8888/rtp/239.45.1.71:5140$1920x1080
CCTV8电视剧,http://58.37.82.140:56789/rtp/239.45.1.71:5140$1920x1080
CCTV8电视剧,http://tv.100inns.com:4022/rtp/239.45.1.71:5140$1920x1080
CCTV9记录,http://101.83.74.79:8686/rtp/239.45.1.108:5140$3840x2160
CCTV9记录,http://116.232.156.147:8888/rtp/239.45.1.108:5140$3840x2160
CCTV9记录,http://58.37.189.47:8088/rtp/239.45.1.108:5140$3840x2160
CCTV9记录,http://58.39.142.6:4022/rtp/239.45.1.108:5140$3840x2160
CCTV9记录,http://101.85.133.44:4000/rtp/239.45.1.108:5140$3840x2160
CCTV9记录,http://58.37.91.48:4000/rtp/239.45.1.108:5140$3840x2160
CCTV9记录,http://116.233.138.194:4022/rtp/239.45.1.108:5140$3840x2160
CCTV9记录,http://222.67.193.52:8888/rtp/239.45.1.108:5140$3840x2160
CCTV9记录,http://58.37.82.140:56789/rtp/239.45.1.108:5140$3840x2160
CCTV9记录,http://tv.twwhwn.cn:4022/rtp/239.45.1.108:5140$3840x2160
CCTV10科教,http://101.83.74.79:8686/rtp/239.45.3.8:5140$1920x1080
CCTV10科教,http://116.232.156.147:8888/rtp/239.45.3.8:5140$1920x1080
CCTV10科教,http://116.233.138.194:4022/rtp/239.45.3.8:5140$1920x1080
CCTV10科教,http://58.37.189.47:8088/rtp/239.45.3.8:5140$1920x1080
CCTV10科教,http://58.37.91.48:4000/rtp/239.45.3.8:5140$1920x1080
CCTV10科教,http://101.85.133.44:4000/rtp/239.45.3.8:5140$1920x1080
CCTV10科教,http://58.39.142.6:4022/rtp/239.45.3.8:5140$1920x1080
CCTV10科教,http://222.67.193.52:8888/rtp/239.45.3.8:5140$1920x1080
